ID,Headword,Trigger,Function,Classification,Notes
SI-0144,Leatherseller,Letherseller,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0266,Linen Draper,linnen draper; Lynnen Draper,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0146,Lord,Lorde,Status,Social Status,
SI-0336,Lord Chancellor,lord chauncellour; Lorde Chauncellar,Office,,
SI-0352,Lord Keeper,Lord keeper of the greate Seale of England,Office,,
SI-0147,Lord Treasurer,Lorde Treasourer; Threasourer,Office,"Administrative, Revenue & Enforcement Roles",
SI-0148,Mariner,Mariners; Maryner; Maryners; Marriner; Marriners; Marryner; Marryner; Marryners,Occupation,"Carriage, Transport & Logistics",
SI-0149,Marquess,Marques,Status,Social Status,
SI-0270,Marshal of the Queen's Bench,Marshall of the Quenes Maiesties Benche,Office,Judicial & Legal Functions,
SI-0150,Master,Maysters,Status,Employment Structure (Non-Kinship),
SI-0274,Master Gunner,Mayster Gvnner,Office,Civic & Sovereign Authority,
SI-0152,Master in Chancery,Master of the Chauncerye,Office,Judicial & Legal Functions,
SI-0153,Mayor,Maior,Office,Civic & Sovereign Authority,
SI-0322,Mediator,,Office,,
SI-0154,Member of Parliament,,Office,Civic & Sovereign Authority,
SI-0155,Mercer,Mercers; Merser,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0156,Merchant,Marchantes; Merchantes; Merchaunt; Merchaunte; Marchant; Marchaunt; Marchants; Merchauntes; Merchante; Marchaunte; Marchauntes; Merchante; Marchentt;,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0341,Merchant of the Staple,Marchauntes of the Staple; merchaunttes of the Staple,Occupation,,
SI-0157,Merchant Taylor,Marchanttaylor; Merchanttaylor; Merchant Tailor,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0158,Messenger,Messengers,Occupation,Commercial & Financial Intermediation,
SI-0302,Miller,,Occupation,,
SI-0159,Minister,Parson; Mynisters; Mynister; Mynisters; Curate; Curates,Occupation; Status,Ecclesiastical Authority & Religious Office,
SI-0161,Mistress,Mistres,Status,Employment Structure (Non-Kinship),
SI-0283,Mother,,Kinship,,
SI-0269,Musician,Musicion,Occupation,Hospitality & Provisioning,
SI-0323,Neutral,Indyfferent Men,Office,,
SI-0168,Nobleman,Noble,Status,Social Status,
SI-0354,Notary,Notary publique; Publique Notaries,Occupation,,
SI-0169,Officer,Officers,Office,"Administrative, Revenue & Enforcement Roles",
SI-0375,Ordinary,Ordynarye,Occupation,,
SI-0170,Ostler,Hosteler; Hostler,Occupation,Hospitality & Provisioning,
SI-0279,Outclerk,Outclerkes,Office,"Administrative, Revenue & Enforcement Roles",Clerk that collects hallege in London
SI-0288,Parents,,Kinship,,
SI-0175,Patentee,Patentees,Office,"Administrative, Revenue & Enforcement Roles",
SI-0263,Pewterer,Pewterers,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0179,Pier Reeve,Perereif; Perereifes; Perereves,Office,"Administrative, Revenue & Enforcement Roles",
SI-0180,Pilot,Pylot; Pylott; Pylate; Pilate; Pylate; Pylatt; Pilat,Occupation,"Carriage, Transport & Logistics",
SI-0182,Porter,Porters,Occupation; Office,"Carriage, Transport & Logistics",
SI-0183,Post,Postes; Poste,Occupation,Commercial & Financial Intermediation,
SI-0185,Poulterer,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0262,Prince,,Status,Social Status,
SI-0186,Prior,Priors,Office,Ecclesiastical Authority & Religious Office,
SI-0245,Prison Warden,Wardeyn of the Fflete,Office,"Administrative, Revenue & Enforcement Roles",
SI-0347,Prisoner,prisoner; prisoners; Prysoner,Status,,
SI-0367,Proctor,Proctors,Office,,
SI-0187,Procurator,Doctor of Law,Office; Occupation,Professional & Learned Practice,
SI-0346,Promoter,promoter; promotershipp,Office,,
SI-0373,Prothonotary,Prothonataries;,Office,,
SI-0188,Purser,,Occupation,"Carriage, Transport & Logistics",
SI-0189,Pursuivant,,Office,"Administrative, Revenue & Enforcement Roles",
SI-0190,Queen,,Office; Status,Civic & Sovereign Authority,
SI-0191,Receiver,Recevership; Receyver,Office,"Administrative, Revenue & Enforcement Roles",
SI-0192,Recusant,Recusantes,Status,Legal Status,
SI-0193,Regent,,Office; Status,Civic & Sovereign Authority,
SI-0374,Relator,,Office,,
SI-0194,Religious,,Status,Ecclesiastical Authority & Religious Office,
SI-0340,Remembrancer,Remembrauncer,Office,,
SI-0372,Rioter,Riotor; Riotors,Status,,
SI-0195,Rippier,Ryppyre; Ryppyres; Rippiers,Occupation,"Carriage, Transport & Logistics",
SI-0345,Rogue,Roge,Status,,
SI-0196,Saddler,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0197,Sailor,Sailer; Saylor; Sayler; Sayllors; Sailler,Occupation,"Carriage, Transport & Logistics",
SI-0198,Salter,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0199,Scholar,Scholer,Occupation,Professional & Learned Practice,
SI-0200,Schoolmaster,Tutor,Occupation,Professional & Learned Practice,
SI-0201,Scrivener,Scryvener; Scrivenor; Scryvenor,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0202,Searcher,Searchars; Searchers; Searchar; Serchers; Sercher,Office,"Administrative, Revenue & Enforcement Roles",
SI-0203,Secretary,Secretores; Secrettarye; Secertary; Secretaryes,Occupation,"Administrative, Revenue & Enforcement Roles",
SI-0207,Serjeant,Seriaunte; Seriauntes; Sargiante; Sergiant,Office,"Administrative, Revenue & Enforcement Roles",
SI-0259,Serjeant at Law,,Status,Judicial & Legal Functions,
SI-0379,Serjeant at Mace,Serieante at Mace; Serieant at Mace,Office,,
SI-0208,Servant,Saruaunte; Sarvante; Seruant; Servaunt; Servaunte; Servants; Servantes; Servauntes; Seruantes; Seruante; Seruaunt,Status,Employment Structure (Non-Kinship),
SI-0210,Shepherd,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0211,Sheriff,Sheryve; High Sheriff; Shireff; Sheryffe; Sheryff,Office,"Administrative, Revenue & Enforcement Roles",
SI-0212,Ship Master,,Occupation,"Carriage, Transport & Logistics",
SI-0330,Ship Owner,,Status,,
SI-0360,Shipwright,Shippewright,Occupation,,
SI-0213,Silk Seller,Silke Seller,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0359,Silkman,Silke man; ,Occupation,,
SI-0214,Silkweaver,Silkewever; silke wever,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0299,Sister,,Kinship,,
SI-0301,Sister-in-Law,,Kinship,,
SI-0217,Skinner,Skynner,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0277,Soap Maker,sope maker,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0218,Solicitor,Sollicitors,Occupation,Judicial & Legal Functions,
SI-0284,Son,,Kinship,,
SI-0295,Son-in-Law,,Kinship,,
SI-0223,Spinster,,Status,Legal Status,
SI-0224,Stationer,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0261,Subject,Subiect,Status,Legal Status,
SI-0225,Surgeon,,Occupation,Professional & Learned Practice,
SI-0226,Surveyor,Surveyors,Office,"Administrative, Revenue & Enforcement Roles",
SI-0276,Surveyor of the King's Works,Surveyor of her maiestyes workes,Office,"Administrative, Revenue & Enforcement Roles",
SI-0227,Tailor,Taylor,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0228,Tallow Chandler,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0229,Tanner,Tanners,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0230,Taverner,,Occupation,Hospitality & Provisioning,
SI-0275,Teller of the Exchequer,Queenes tellers of the Exchequior,Office,"Administrative, Revenue & Enforcement Roles",
SI-0267,Tinner,Tynner,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0365,Translator,Interpreter; Interpreters; Interpriter; thinterpreter,Office,,
SI-0273,Trowman,Trowe man,Occupation,"Carriage, Transport & Logistics",
SI-0353,Umpire,Umpier; Umpeere,Office,,
SI-0294,Uncle,,Kinship,,
SI-0233,Undersheriff,thondersheryffe; vndersheryff,Office,"Administrative, Revenue & Enforcement Roles",
SI-0280,UnidentifiedChild,,Unidentified Person,,
SI-0278,UnidentifiedPerson,,Unidentified Person,,
SI-0240,Upholder,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0335,Vicar,,Occupation,,
SI-0242,Victualler,Victualer; Vitteller; Vitler,Occupation,Hospitality & Provisioning,
SI-0243,Vintner,Vintener,Occupation,Hospitality & Provisioning,
SI-0244,Waiter,Wayters; Waytors; Wayter; Waytor,Office,"Administrative, Revenue & Enforcement Roles",
SI-0246,Warehouseman,,Occupation,"Carriage, Transport & Logistics",
SI-0247,Waxchandler,Wax Chandler,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0248,Weaver,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0249,Weigher,,Office,"Administrative, Revenue & Enforcement Roles",
SI-0250,Widow,Widowe; Wyddow,Status,Legal Status,
SI-0252,Wife,Wyfe; Wife; Wyff,Status,Kinship & Social Relations,
SI-0254,Wiredrawer,Wirepuller; Wire Worker; Wyre Worker,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0256,Woollen Draper,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0258,Yeoman,Yeman; Yoman,Status,Social Status,
SI-0382,,,,,
