ID,Headword,Definition,Examples
E-0026,Confess/Admit,The act of acknowledging or admitting something damaging or compromising about oneself or one's own conduct.,piper onlye confessed before them of the Jurye openlye at the bare at the tyme of the said tryall; confessed that he had so much in his handes; did he the sayd John wood further confesse; confess the whole plot and deceit
E-0130,Consign,"The act of transferring goods or commodities to a factor, agent, or correspondent for commercial handling.",consigned by the said Nundye to one John Polton; consigned the same unto one walter ffletcher of london merchant; did consyne to the handes of one George Dorrington into the Ile of St Michels soe muche Englishe goodes; consigned the same unto; to whom they were consigned; were consigned to
E-0160,Continue/Remain,"The act of carrying on, persisting in, or remaining in an activity, state, condition, or place.",sithens that tyme it hath continewd; showlde contynewe; did you after that contenewe and procede in; hee woulde contynewe his said Masters Customer; to be and contynewe in the said howse; it hath continewed in thandes; howe long tyme did they continewe their ioynt Copartnership; did still contynewe; it hath continewed
E-0024,Contract,The act of concluding a binding agreement between two or more parties.,"agreed; bargained; covenanted; in consideracion of twentye poundes to be payed vppon the delyverye of fower wheate cornes; did by his suffycyent deede indented for dyvers good Consyderacions hym especyally movinge make a lease to this defendant; he the said defendant shall enter into bandes; did make such an obligacion; did cause an obligacion to be made; Entred into one obligacion; Covenantyd and promysed to doo; Had an absolute Bargayne & sale thereof; your said Orator dyd becomme bownde vnto the said Robert Coote by an obligacion; the saide Complainant standeth bounden to this defendante by obligacion; yt was concluded and agreed betwene; contracted and bargained for with; did bargain with one Isaack Cabassa... for the valye of Cxxxiij M£ vgs of Barbarie money, amounting to xvj M£ englishe or theareaboutes and to Receive the value thereof in Sugars within one year after the bargaine made and to paie for the same in lynnen & wollen Clothes onelie & no money"
E-0217,Convert,"The act of wrongfully appropriating another person's goods, money, or property to one's own or another's use",dyd take and convert to his owne vse; the proffitt thereof converted to theire owne use; have converted the same to his owne use without any iust cause; tooke and imployed the same to his owne use
E-0137,Convey,"The act of formally transferring ownership, title, or interest in property, rights, or obligations to another party by legal instrument",Conveyaunces donne of the ffarme; the said Complainant demised certen Landes to; give grawnte bargayne sell alienate or conveighe
E-0152,Copy,"The act of making a reproduction or duplicate of a document, instrument, or other thing.",made a coppye theareof; he coppyed the accounte; he wold Coppy yt out for him; dyd write for him a copie; write oute a copie of; make a true copy thereof
E-0028,Counterfeit,"The act of making or passing off a false imitation of coins, seals, marks, or goods as genuine.",to giue a Counterfeyt and dessembled out side of the said vessell so made of Copper and latten as yf the same were true vessels & plate made of gold or silver; forged stampes of iron or steell of the Towne seall of Strawsborow; did soe perfectlie Counterfett the Seale; vsed to stampe ffoure markes vpon the sceale & boll of the same spoones resembling the touche & markes of all true plate
E-0004,Cultivate,The act of growing crops or raising livestock.,grew corne; husbandry of land; the croppe of corne that was sowne; sowe the said lond
E-0134,Cut,"The act of cutting, severing, or chopping something.","to cutt downe; to fell certeine vnder wood; throwe downe the hedges; fellinge the tymber trees; felled or caused to be felled; did mowe cutt downe and with force of Armes Carrie the Corne, grasse, and other fruite groweing; reape mowe & cutt downe"
E-0053,Damage,The act of causing harm or injury to a thing or property,spoyled by wet; did mix with worse wynes to the vtter spoyle & distruccion of the same
E-0032,Deceive/Defraud,The act of causing another person to believe something false in order to gain an advantage or cause loss.,"deceitful dealing; cosoned; defraud; beguile and disceive; defraude; defrauded; by a coveouse practise and fraudelente devise wroughte and practysed; intendinge to cozen defraude and deceyve your saide Suppliant; thentent to beguile Cosin and defraude; to putt in practise diverse Falsities, deceiptes, and Fraudes; he did deceave your subiect in the bad quality of the said wares and in the weight & quantity of the same; practized to defraud his Creditors; to defrawde and dysseyve; hath dysseyved; to Cosen and beguyle"
E-0224,Decline/Decay,"The act of falling into a worsened state of health, fortune, or condition",fell into decay; fell sicke; languished; fell backward in his accounts; became decayed; fallen into great decay
E-0045,Defy,"The act of openly resisting or refusing to comply with an authority, command, or legal process.",Massye leyd his hands vppon this examinates shulder and thrusted this examinat from the watersyde and wold not suffer this examinate to go to the boates wherin they had put in tanned lether to do his dewtie as apperteigned; Pembrudge obstinatlye refused and dennyed to yeld them selues vnto the said officers
E-0034,Deliver,"The act of handing over or conveying a person, object, document, or information to another.",delyuer and showe vnto; did delyver and commytt into the handes of; dyd delyuer vnto this defendant; dyd at dyuers tymes delyver; deliuered it backe; delyveryd unto the sayd ffaunces; the sayd goodes and Catelles were delyveryd by; did deliver and leave or cause to be delivered and left; delivered the Clothes into the Custodye and keeping of; should be brought unto
E-0035,Demand,The act of assertively calling upon another person to perform an obligation or comply with a claimed right.,required of eache of them the possession of there seuerall houses; demaunded of him 50£ for arrerages of rent; made demaunde of his said goods of; uppon demaund thereof unto him made by; dyd then demaunde and Challenge
E-0146,Deny,"The act of refusing to admit something as true, or refusing to give or allow something to another person.",denyed the same; utterlie denyed; refused; doth dysavowe and denye; denyeth that; doth dysavowe and denye
E-0019 ,Destroy,"The act of completely ruining, demolishing, or eliminating a thing",throwe down the hedges; to the utter spoyle & distruccion of the same; sink the ship; torn out of
E-0163,Die,The act of dying.,the said margaret lately dyed; died; had died; when he dyed
E-0097,Discover/Learn,The act of coming to know something previously unknown or hidden.,found out; came to know; is desyereous to knowe; can learne; begin to find out; discover the practices of; found out that
E-0175,Discuss,The act of talking over a matter with another person.,vppon somme communicacion had betwene them
E-0127,Embezzle,"The act of fraudulently taking or converting goods, money, or property entrusted to one's care.",did in like secrete manner imbezzell and shifte from your highnes sayd subiecte sundry parcelles of wares; he had untruely imbesylled from your sayd orator; imbeselled from him; spende of his saide Maisters goodes; defraude him of any of his masters goodes
E-0038,Employ,The act of engaging or hiring another person to perform work or services.,hire; hyred; was Reteyned by one James Hargrave and Charlls Snell to be theire Soliciter; being reteyned by the lord henry howard as his sollicitor; the comisioners did vse & Imploy one Needham; men which were so hyred
E-0170,End,The act of bringing something to a close or conclusion.,made an end of their buysynes; for the composing & ending of all differences betweene
E-0191,Enter,The act of going into or coming into a place.,entered into the outward Court; he entered into this parcell of ground; in forcible manner did enter
E-0041,Entrust,The act of placing something or someone in another person's care or safe keeping.,committed to his keeping; beinge possessed of certeine Ingottes of gold weighinge ffiftie and seaven ounces did make delivery thereof unto one Thomas Stokely in trust to be safely kept and redelivered unto your orator uppon demaund; leaving thother two of the said fower clothes in the possession of; to leave the same in the custodie of some third person
E-0042,Escape,The act of unlawfully leaving confinement or official restraint.,"escaped out of prison; escaped out of the said Towne; broke out of the said gaole, escaped from the custody of"
E-0201,Examine,The act of formally questioning a person or scrutinizing a document or account in detail,make Serche amongest the evydences and writinges; yf the bokes and wrytinges betwene them made for the same myght be vewed and seen; to examyn the said matter and all the circumstances therof; perused
E-0155,Execute,"The act of carrying out or giving effect to a legal instrument, order, or commission.",The same was not executid; to execute the saide comision; procead in the execution of the fformer comission
E-0043,Execute on a Debt,The act of enforcing a judgment or obligation against a debtor by seizing goods or taking legal process.,seized for the debt; took out execution against him; sued forth a writ of execution on the debt
E-0222,Expect/Anticipate,"The act of looking forward to or anticipating a future occurrence, condition, or outcome",expected a better market; expected or hoped for; abiding upon the shore expecting to; were expected
E-0156,Extract,"The act of removing or drawing out something from a place, container, or source.",digged Lymestone; have taken foorth or out of
E-0182,Find/Locate,"The act of discovering or coming upon a person, place, or thing by searching or chance.",found in his study
E-0179,Fine,The act of imposing a monetary penalty on a person.,was putt to a fyne; were fyned
E-0046,Fish,"The act of catching fish or other aquatic creatures from rivers, seas, or other waters.","did fish in the said waters; there to take fyshe; to fyshe; takeing
of those fishes; to take the same fishe"
E-0047,Flee/Abscond,"The act of departing or running away to avoid a person, obligation, or authority",fled beyond seas; fled and departed into some forrayne Realme or Countrey; is fleed into Ireland; rune awaie & fledd; waren falsely and untruely conveyed hymselfe to Sentuary among the preestes of bylbo; is run a waie therwith; ran away with the money
E-0048,Forbear,"The act of refraining from enforcing a financial claim, debt, or legal right, typically for a period of time and in exchange for consideration",for the forbearing of the forsayd soome; was he Payd for the forbearynge; dyd forebeare the occupyeng of the said close; restrayned or to forbeare from soe doeing; to forbeare the saide somme of fyve hundred poundes vntill; to forbeare the same somme
E-0223,Forbid/Prohibit,"The act of authoritatively interdicting or restraining an action by command, statute, proclamation, or injunction","You were forbidden to; the proclamation prohibiteth woad to be sown; this licence prohibiteth all; they seek to prohibit; neither restrained by law, nor by her highness proclamation; should not be inhibited; restrayned by lawe; restrayn; restrayning all forreyn trade"
E-0094,Forge/Falsify,The act of fraudulently making or altering a document or signature to deceive,"to forge a deede; have Forged, counterfeyted, and subscribed unto the said False notes the names of the said Marchauntes; haue forged two severall obligacions; did unlawfully forge raze change and alter the same; Contrived, made, framed, and Counterfeted in the name and in similitude and likenes of the handewritinge of the saide Frances Martyn A noate and writinge; have most corruptlie contryved and counterfeited falce notes in wrytinge; in that false Letter they did soe perfectlie Counterfett the hand of the said William Pettus; severall bondes or obligacions the handes and Seales of your Supplyauntes were severallie forged; altered or chaunged and caused to be altered and chaunged the said marke and Figures from the said true waighte and contentes to a False and Farre greater waighte; did falselie subscribe and forge the marke or name; write, counterfeit, or set the name of Thomas Whitby gent on the backside of the said writ"
E-0103,Gift,"The act of transferring goods, money, or property to another person without payment or obligation in return","made any giffte or Conveiaunce of any of his goodes or chattells; a deed of guifte was made to one John Twyne of his goodes and Chattles; did make one generall deede of guifte of all the goodes, Chattelles, wares, and merchaundizes of him, the said Pawle Barrowe, unto the said Maurice Lluellin, there beinge att thatt tyme noe lawfull debte due or oweing; have secretly fraudulently and privilye shifted, and solde all their goodes and chattelles colerably to the said Robert Cordrey; the deed was not made bona fide with any purpose or intent that the said John Kellye should have or enioye the said goodes or chattells according to the said dede, for the goodes and chattells were still left & continued in the possession of the said John Squire as before; hath made contrived devised ymagined entred into and published a certaine fraudulent deede of guifte of all his goodes and Chattells unto the saide Sr Thomas Hewett; make over his estate wholie to them or some of them with some coulorable shewes of good consideracion whereby this defendte should prevente his Creditors therof; sealed and deliveryd vnto him a deede of guifte; give, grant, and assign all my goods and chattels"
E-0092,Go/Come,The act of a person directing themselves to or from a place,repaired unto; resorted to; betook himself to; went to; came to; wente over to Ancusen aboute the saide viage; did passe that wey; taken viodge ouer the sayes in to the realme of ffraunce; jorneyed to; hath used to resort and repayre to the Towne of Southampton; repayred and resortyd unto the sayd John Perchard; he Repared unto bylbo; proceeded towardes; returned into; from thence Returned; did often use to repaier to; making his repaire to; this defendant retorned home into the Countrey; after his returne into the Country; repayre to the said farme howse
E-0205,Grant,"The act of formally conferring a right, privilege, licence, or authority on another person",to graunt a wrytt of cerciorari; granted to; letters patent granted to; the Queen had granted to; the lords of the town do now grant
E-0185,Hear/Listen,The act of perceiving sound or attending to what is said,Hearken and listen; have heard; hear; did hear; heard reported; heard say
E-0057,Imprison,The act of confining a person in prison or other place of custody,imprisoned for debt; imprisoned without cause; being Cast in prisson for other mens dettes; he said defendant shalbe commytted to the Constable of the Castle of Chester there to remeyne for his ponishement
E-0016,Inform On,"The act of initiating Crown legal proceedings against a person by laying a formal information before a court, whether by an informer or crown officer",preferr an information into the Exchequer; vsed and dothe vse to enforme ageinst divers of your maiesties Subiectes vppon sundry penall statutes; Prosecutinge sundrie Informacions before the Barones of your maiestes Exchequer; exhibited an Informacion in the Queens Maiesties Courte of Exchequer; he had information or suit of record
E-0050,Inquire/Ask,The act of seeking information from another person by questioning or investigation,did make inquiry; made inquiry at; did make inquirie; demaunded of him whether hee liked of them or noe; made Inquirye in; demand of him why
E-0096,Inspect,"The act of examining goods, property, or other things to assess their quality, quantity, or condition","inspecte the cloth; the sayd Thomas Hill had opened and looked on the seedes therin; in the warehouse of the said William Judson fully viewed, opened, and measured the said twelve Clothes; he had opened the bag and looked on the seedes therin; he did loke vpon the wares"
E-0029,Insult,"The act of directing abusive, insulting, or imprecatory words at another person.","dyd yow Call the said searcher vyllein Roge and banckeroute knave; call him a Rascall; whome they termed to be a very rascall connycaching knave; this deffendant did rayle and revile the said Pembrudge; master ludlowe told this deponent he was A baggage and not worthy to wype his bootes; he called Body thinformer a false knave; bade him kisse his the sayd Brewsters Arse; I could wipe thy nose of all the land thou hast; Impudent beast, bewitched of Satan, possessed with the spiritt of lyinge, thow that beatest thy servaunte because he would not geve faulse testimonie against his owne father, thow that makest no conscience of an oath, thow that hast out lyved thy Creditt and remayned in the exchainge almost twentie yeares, and not a man, woman, or childe can geve thee a good word, thow, that Viper that eateth out his Mothers wombe, that Serpent that stonge him to the harte that did nourish him in his bosome, thow whose conscience is taynted with periurie, thow odious to god & man, varlett"
E-0140,Insure,"The act of underwriting or taking out insurance on goods, a vessel, property, or a person's life against loss, damage, or death",had their said goodes assured by dyvers englishe Merchantes; Marchants of Amsterdam assured 3700li Flemish; caused Assurance to be made upon Certain rich goodes; did make assureance and cause himself to be assured lost or not lost
E-0110,Intend,The act of having or expressing an intention to do something,myndinge and entendinge to; purposeth to; meaning to; intending to; entendyng troble and busynes; entendyng to defrawde and dysseyve; the sayd John perchard proposed to; entendyth to; intendinge nothinge lesse then; Resolved to; to thintent to
E-0001,Keep Account,"The act of keeping, maintaining, or entering records of transactions, debts, obligations, or receipts","keepe the scores; booke in his custodye; note booke of bondes and billes; kepethe a booke which he callethe his note booke wherein he dothe commonlye vse to enter notes of bondes, billes, obligacions acquittances; made a note of the receite of the said hundred markes upon the same bonde under his owne hande; he wolde soe charge the same to Accompte"
E-0158,Keep/Retain,The act of retaining or holding something in one's possession,did keepe for him self; the sayd Bokes and wrytinges Remayn in the handes of; keepe the possession of
E-0054,Know/Have Knowledge of,The state of being aware of or informed about something,hath knowen him these ffyve yeeres; it is nowe aboute xvj or xvij yeres sythens this examinat was fyrst acquaynted with the said william hussey; he knewe not; well knoweinge that his said stone was but a counterfeyte; yor sayd orator havyng knolege therof; Wherof your said besechar had knowledge; they well knewe that; was well knowen unto; was unknowen to
E-0059,Lade/Load,The act of loading goods onto a vessel or vehicle for transport,ther was purposed to be laded in somme of the said shippes; laded a great quantytie of tanned lether & Calveskynnes in two boates; dyd relade her for the Isle of Sᵗ michaels; receyved there her Ladinge and was loaden with threescore pipes of good Maligoe wynes
E-0060,Lease from,The act of taking property or goods on lease from another person,to haue a leaze of that close for xxj yeres
E-0154,Leave Behind,The act of leaving something at a place or with a person,left with her the coppye; lefte there a writt of Execucion
E-0192,Leave/Depart,The act of going away from a place or person,he departed from thence; departed from the defendantes service; he went awaye and departed from; departed thence; was gone awaye; lefte his Chamber
E-0122,Lend,The act of providing money or goods to another person with the expectation of repayment,dyd lende moneye; dyd lend & deliver vnto the said Robert from time to time monye; would lend the said Thirtie poundes
E-0125,Let to Hire,"The act of granting temporary use of property, goods, or services to another person in exchange for payment",let to hire; leased to; lett to hyer; hyre the ship; did demise and to farme lett vnto; made a Lease thereof by Wryting vnder his hand and Seale vnto; let to hire the said ship unto
E-0218,Liable For,"The state or act of being legally answerable for an obligation, debt, penalty, or claim",answerable for; charged with the penalty; stands liable to
E-0214,Litigate,The act of taking actions in furtherance of a legal action or trial,did with all speede proceede upon a nichil dicit or default to iudgement thereupon; hath there obteined the decree of the same Court against your subiect; your Subiect is inforced to staye his said suite; caused the Court of Common Pleas to be moved concerning the entry of the said Judgment; moved and prayed the court to help this defendant unto the Execution; the Court was moved; sued unto the Outlawry
E-0209,Lodge,"The act of staying or being accommodated temporarily as a guest or paying lodger in another person's house, an inn, or other lodging place",to lodge in the said Chamber; where she lodged; then lodged; where he lodged
E-0107,Lose/Forfeit,"The act of ceasing to have or control something, whether by misfortune, default, failure of expectation, or operation of law",to become forfaited
E-0136,Manifest,"The act of a fact or state of affairs being shown or made evident, especially by reference to documents, records, or other evidence.",yt should appere; may plainly and more at large appear; it shall not appeare or be sufficiently proved; as maye appeare
E-0063,Manufacture/Craft,The act of making or producing goods by skilled craft or organized production,"made ordnance; wrought the said iron, made the said cloth, manufactured the said ordnance"
E-0165,Marry,The act of entering into marriage with another person,mairyed and tooke to wyef; shold have and enioye the said Johanne as his wyfe
E-0117,Meet/Encounter,"The act of coming together with another person in a place, whether by arrangement or by chance",mette hym at; mette wythe; yf they could meete with him; to meete him at; meete withall; haue here met with
E-0142,Mortgage,"The act of conveying land, goods, or other property to a creditor as security for a debt, with the right of redemption upon payment of the principal.",did morgage assigne and sett over for the securytie of the said dette; John Slade dyd morgage vnto him this defendant one yard land for the somme of x£; layed yt oute vppon the morgage of certen landes; did offer to these defendantes to pawne or morgage unto them for there further securitie the Leasse of his howse wherein he then dwelt
E-0167,Move/Place,The act of repositioning or setting a person or thing in or onto a particular location,were moved from the house into
E-0051,Negotiate,The act of discussing terms with another party with a view to reaching an agreement.,had further conference and dealt with one John Gore of Trynitie Lane in London for that purpose; did drive the bargaine betweene them
