The following words are homonyms--they are spelled the same but have completely different meanings. You need to be on the lookout for these words and analyze the context before selecting the Headword and ID.,,,,,,
,,,,,,
,,,,,,
Word,Headword,ID,Possible Forms (non-exhaustive),Meaning,Example,
Brasse,Brace,INT-0236,Brasse,A pair / two of something,ij brasse of greyhowndes,
Brasse,Brass,T-0017,Brasse; Brasen,A type of metal,"""merchant stranger havinge traficke with the plaintiff, and in accompt found indebted to the plaintiff, deliuered to hym  certen brasse for the satisfaccion therof bargening with hym to have certen clothes deliuered vnto hym by the plaintiff for the surplusage of the saide brasse""; ""how manie peeces of Brasse ordnaunce"";",
Brasse,Brassware,T-0314,Brasse; Brasen,"Goods, utensils, dishware, and cookware made with brass","""howsholdstuffe as brasse pewter beddinge""; ""a potte of brasse of a galon""; ""iiij brasse pottes certayne kettilles & panns""; ""pewter vessell & brasse vessell""; ""brasen pannes with sundrie other goodes vtensiles and ymplementes of houshould stuffe""",
Carriage,Behavior,INT-0243,Carriage,"Conduct, demeanor, or manner of behaving; personal bearing","""Complaynants mallice, troublesome carriage, and contentious behaviour""; ""a man of that honest mynde & Carriage""",
Carriage,Carriage,INT-0009,Carriage,Payment for transporting goods,"""the somme of ffyve poundes or thereaboutes for Carriage of Mault""; ""three poundes and eight pence allowed to the said Complt for Carriage of beere by the said Complt""; ""who payed for the carriage & freight therof""",
Carriage,Carriage Freight,T-0442,Carriage,Goods or loads in the course of transport; that which is being carried from one place to another over land.,"""made readie for Carriage; might haue the"" ""vse of the said waye for carriage of his corne""; ""forbeare the carriage of his corne""; ""paie by the loade for the Carriage of such of the said timber""; ""resceive such vsuall towle for the passage of such carriage & Cattell as is transported""",
Carriage,Wheeled Carriage,T-0441,Carriage,A wheeled vehicle.,"""horse carte and other carriages""",
Combe,Comb,T-0385,Comb; Combe,A personal item used to comb hair,"""one payer of wryting tables one boxe of Metridatum one Combe Case towe Corslettes""",
Combe,Combe,INT-0146,Coomb; Coombe,"A measure, often of grain","""fyftene Combes of verie good Barlye""; ""the rate of ixˢ for euery Combe""",
Commodity,Commodity,INT-0013,Comoditie; Commoditie; Commoditye;,Interest on a loan or profit; generally used in the singular,"""for his avayle and commodity""; ""to her maiesties most profit, and commoditye""; ""all the benefitt advantage emolument and commoditye""; ""sundry Ritche and Costly Commodityes as clothe of Siluer Cloth of gold""; ""appointed to provid such Commodityes and stuffes as then had occasion to vse""; ""who made the severall agrementes betwene yow and what comoditie had he therby""; ""comon of pasture & turbarie easmentes liberties freedomes comodities and all other hereditamentes""; ""he dothe not knowe of any commoditye or proffit""; ""doe not onlye take the proffittes and commodityes""",
Commodity,Merchandise,T-0115,Comodities; Comodits; Commodities; Commodityes,Wares or merchandise; often used in the plural,"""money bestowed in any Commodity merchaundyze""; ""laden a certein barke with Corne victualles and  other Commodityes""; ""not to deale as then with anie duraunces or anie such like comodities""; ""wares Comodities and merchaundizes""; ""divers wares and Marchandizes, As wolles, Lynnen Clothe, and other Comodities""; ""whether the said Hare be now a dealer in such comodits""; ""what Implementes Goodes or other Commodityes""",
Custome,Custom,INT-0238,costome; custome; custom,A longstanding rule or practice in a locality,"""what is the Common trade and Custome That those Sortes of Clothes be Commonly Strayned and Strecched in length""; ""the custome of that mannor""; ""by the costome and vsage of the sayd towen""; ""by the costome of London""; ""accordinge to the Costome of Gavelkinde""",
Custome,Custom,INT-0239,Costome,trade,"""a trads man And is the principall parte of his Costome and hath susteyned greate Losse and hinderaunce both in his Creaditt Costome and substance, havinge therbye loste the beste Costome""",
Custome,Customs,INT-0021,Custome; Cvstome; Customes; Customs; Custom,The import/export regulation office of government; also duty paid on import and export,"""ye Custome, & Subsidye hath not bine compounded for""; ""ye Custome & Impost not satisfied""; ""farmors of his Maiestes customes""; ""Commissioners for the Customes and Subsedies""; ""an Officer at Arrundell for the customes""; ""payment for the Cvstome and subsydye off the sayd pearles""",
Deade,Deceased,SI-0077,Deade; Dede,A deceased person,"""your Orator hath noe other meanes to make paymente of the said legacies, nor to secure himself nor to performe the will of the deade""",
Deade,Deed,INT-0023,Dede; Deade; Deades,A legal document,"""theare was a deade offeryd vnto him of the saied Mannors to be sealyd by hym, who offered the same deade""; ""make a deade of gift""; ""the date of the sayd deade of leas""; ""oratores the sayd dead of leas had in the haundes to pled""; ""deade of Lease""; ""that dead of gyfte""; ""whome was the deade in the Chauncerye enrowlled and whoe caryed the deade to be enrolled""
or bargayn and salle""; ""delyuerid me the deade""",
Dozen,Dozen,INT-0108,Dosen; Dosens,Unit of measure equaling twelve,"""howe many dosens of Calfeskynnes""; ""dyvers dosens & payers of gersye wollen and worsted netherstokyns""; ""a dosen of dyaper napkins""; ""about a dosen yeare scince""; ""these dosen yers""; ""halfe a dozen more or lesse""; ""about a dozen acres of meddowe""; ""three dozen cases""; ""would amount 
vnto one hundred and three score dozens or thereabout""",
Dozen,Dozen,T-0386,Dosen; Dosens,"A type of cloth; often used in the phrase ""northern dozen""","""to weave dozens and kerseys""; ""certen northen dozens of clothe""",
Els,Ell,INT-0109,Elles; Else,"An ""ell"" is a measure of cloth. When used as a measure, there will generally be a number or number word and a reference to some commodity, especially cloth. ","""vj elles of Camrick""; ""ell of duch Canvas at viijᵈ the ell Item 3 elles and a half of duch canvas at viijᵈ the ell""; ""lynnen clothe conteyninge twelve score & eleven elles""; ""solde fortie elles of the said clothe""; ",
Els,Else,No ID,Else; Ellse; Ells; Elles,"a spelling variant of ""else"" (as in or else). Not a controlled vocabulary word","""surcease his suyt in Chauncerye or elles shew good cause""; ""eny thing elles""; ""how elles he doth not know""; ""whoe ells weare present""; ""borne Countrymen in Russia or ells where""; ""vppon the said butt or butts or ells vppon sight of the weight therof""; ""and whoe ells""; ""and those of xxv yardes to xxviij or xxix yardes or ells what is the Common trade""",
Farme,Farm,L-0313,Farme; Ferm; Ferme; ffarme,An agricultural location--this is the less common usage,"""a certen Capitall messuage and ffarme""; ""the house messuage ffarme & tenement""; ""mannor Lordshipp or ffarme""; ""there is a ffarme wherein one John Green now dwelleth""; ""this deponentes father in law did dwell at & vpon the farme of the moate in kent""; ""to the said fferme stocke & demeasnes of Bulforde""; ""mannor or fferme of Sherenden""; ""convey & assure the said severall fermes with theire appurtenances""",
Farme,Farm,INT-0034,Farme; Ferm; Ferme,A right to take rents,"""payd to the sayd parson for the ffarme of the same""; ""lands holden in fee farme""; ""lett to farme""",
Farmer,Fermer,SI-0098,ffernor; ffermor; Fermor; Farmor,A person who is licenced to take rents on behalf of an owner,"""was late ffarmer of the tythes of the said two hamlettes of Bovenden and fflaunden""; ""hinder ye Kinge, or his fermers""; ""plaintiff his fermers or assignes""; ""Lordes and owners of the same Mannor and theire fermers""; ""the owners or fermers of the said Mannor""; ""his fermors or tenantes in the said mesuage""; ""her Maiesties ffermor of the demeasnes""",
Farmer,Farmer,SI-0381,ffarmer,A person who cultivates land,,
Freight,Freight,T-0068,Freight; Fraight,The goods carried by a carrier,"""let their saide shippe to freight""; ""hat freight were yow to receaue""; ""marchantes ioyninge fraight in her""",
Freight,Freight Cost,INT-0134,Freight; Fraight,Cost for carrying freight,"""who payed for the carriage & freight therof""; ""what did they paye for the freight of her""; ""Bradley would give this examinat content for his freight & carriage of the same""; ""what were yow to haue for freight of the other goodes""; ""was to pay 80 duckettes in money and  the sayd shipp  laden with salt vnto the sayd master Hance veytt for ffraight of the  sayd gooddes""; ""or recouerye of his ffraight delivered the sayd gooddes""; ""howe much fraight did he paye yow for ye same""",
Freight,Freightage,INT-0039,Freight; Fraight,Tax on freight,"""paie the Fraight""; ""he saieth That marten ffrollickes men or factors dyd paie the fraight and other dewties""; ""shold pay fraight custome adventur & other charges""",
Holland,Holland,L-0112,Hollande,A province in northern Europe,"""Amsterdam in the north parte of Hollande beyonde the seas""; ""Rotterdamme in hollande""; ""diuerse merchauntes in Hollande & Brabant""; ""bound for Spaine some for Hamborowe some for Holland""; ""bound to encusen in holland""",
Holland,Holland Cloth,T-0091,Hollande; Hollands; Hollandes; Holland; Hollon,A type of cloth,"""a bolt of fyne Holland""; ""lynnen Cloth called holland Cloth""; ""a dyper towell a holland table Cloth a holland towell""; ""three holland shirtes three Lawen and Cambricke bandes""; ""ell some holland to the quantity of 10 or 12 yeardes""",
Informacion,Intelligence,INT-0159,Information; Informacions,News and information,"""if the informacion of Master Thwaites were true""; ""vppon Informacion to him of the saide bargaine made by this defendante""",
Informacion,Informacion,INT-0045,Information; Informacions,A suit brought by a private party or royal official.,"""he hadde Informacion or sute of Recorde or proces against them""; ""Informer for exhibiting of informations""; ""Charged in the said informacion""; ""matters in the saide Informacion comprized""; ""mencioned in the informacion""; ""informacion exhibited""; ""towching an information exhibited""",
Keye,Key,T-0389,Keye; Kaie,A key used to open a lock,"""did you keepe the key of his Studdy doore""; ""counterfeytinge of a false key therevnto"";  ""in this deponentes Chest in his saide master his howse the key whereof he delivered to one of his fellowes""; ""which will he saied was then locked in his Coffer wherof he said Richard houghton had the kaie""",
Keye,Quay,L-0197,Key; Quaye; Quaie; Keye,A dock where goods and people are loaded or unloaded from ships,"""at what keye or keyes or othar plases was the sayd goodes and marchantdys Recevid in to the sayd Crayar""; ""kepte the
key or wharfe called freshe wharfe""; ""arryved at a comon wharfe or key""; ""landed at ye Custome house key""; ""delivered them to the said Pattison himself at his owne key""",
Marke,Mark,INT-0101,Mark; Marke; Markes,"A currency, in England worth 2/3s of a pound; generally used in relation to a numerical amount to be paid","""taking of xx markes for the lone of C£""; ""1200 markes per anum""; ""soomme of ann hundred markes should be payd""; ""yearly rent of fortie markes""; ""Three Hundred and Seaventye Markes of Hamburgh money""; ""he cold not subscribe his name nor make any marke therevnto""",
Marke,Marker,INT-0240,Marke; Markes,A marker or sign made to signal something,"""signe of any auncient marke""; ""signes & markes""; ""hey have marked the tree with some such letter or marke""; ""tree was marked with a C for a marke for a bounder""",
Marke,Subscription,INT-0125,Mark; Marke; Marke of; Mark of,"A personal mark used in lieu of a signature, often in the phrase ""the mark of"" plus a name","""Skynner his marke""; ""Margery dyd sett her mark only to the last sheet therof""; ""was shee able to subscribe her name or her marke""; ""whether had the said Acquittance a Seale, and marke and Wytnesses names subscribed""; ""a marke lyke vnto a Crosse made after this maner + was putt vnto the same Acquyttance nere vnto the seale thereof which seemed to be the marke of him that sealed the said Acquyttaunce""; ""Richard Swaynes  marke""",
Marke,Trade Mark,INT-0126,Mark; Marke; Markes,A merchant or artisan's mark made on wares to distinguish them,"""is not the noate of the markes & nombers of the eight of the sayd bales or trusses""; ""there did Seize all the sayd Thirteene hoggesheades and one Barrell of Tallow to his maiestes vse but did not sett anie marke vppon the same as seised""; ""he hathe sene Cardes marked with a certen blacke marke, but whether the Patentees made the same or not / he this deponent knoweth not, but he hath hard that the cardes that the patentees sold was marked with suche a marke""; ""do you knowe this Marke and seale in the margent, or vppon this Canvas, And Whose Marke and seale and Boxes withe pearles shoulde the same be""; ""he saythe that the marke sett in the margent of the said Interrogatoryes ys the Marke of the aforsaid Allowuce depalma or ffraunces his sonne""; ""he knoweth not the marke, that is made in the margent of the said Interrogatory whos marke ytt is, But he thinketh that he did see suche a lyke marke vppon too boxes of perles which ffraunces depalma sonne to the said Allowuce depalma did bringe vnto the house""; ""Gascoygne wynes beinge of his owne mark""; ""wynes was dyschardged and layed on land of the mark of the said John lendall""",
Mowe,Cut,E-0134,Mow,To cut down crops in the field,"""did mowe cutt downe and with force of Armes Carrie the Corne, grasse, and other fruite groweing""; ""reape mowe & cutt downe""; ""diuers Sythes to mowe withall""",
Mowe,Mow,T-0043,Mowe,"A stack, heap, or piled mass of hay, grain, or sheaves, especially stored in a barn or rick-like formation; especially stored in a barn or rick-like formation. Often used as hay mow, mow of barley, mow of wheat.","""in the Barne one Mowe of Rye of xxviij quarters""; ""One Ryke and half a Mowe of Barley""; ""one mowe and a half of wheate""",
Noble,Noble,A-0210,Noble,"Aristocratic status. When referring to an aristocratic person, look for person names or discussions of persons holding the status of nobility.","""vertuouse woman is a  noble and excellent gifte""; ""fower noble men""; ""any noble man""; ""most noble kinge""; ""her highnes and her noble progenitors""",
Noble,Noble,INT-0147,Nobles,Type of English currency. Most plural usages will refer to money. Look for arabic or Roman numerals. ,"""sold for fyftie thre poundes and A noble""; ""amounting in all to . 20 Nobles or more""; ""dismission with seaven nobles costes""; ""worth to be letten at this day twenty nobles by yere""",
Paper,Paper,T-0130,Paper; Papier; Papers,A material on which one writes,"""bookes of Accompte & papers""; ""euery leafe of a certen paper book or writing""; note specially drawne in paper""; ""putt the pen to the paper""; "" note or abstract in paper""; ""tore the paper in peeces""; ""any Court role paper or partechment""; ""appearing by the said paper booke""",
Paper,Papers of Silk,T-0222,Papers; Papers of Silke; Papers of Sylk,A measure of the quantity of silk,"""the same wares was papers of silkes""; ""what were the quantities and parcells of the same papers of silke & wares""; "" jC iijˣˣ ij papares of
polle sylke of dyvares sorttes""; ""one hundred papers of Sylke""; ""Lxij paper
Sylkes Callid polle Sylkes""; ""viijˣˣij papers of Sylke of dyuers colors euery paper wayinge ij℔""",
Pound,English Pound,INT-0122,Pound; Pounde,"A currency, could be ""pound sterling"" for English money, or other national currencies.","""of late hathe bene worth three poundes""",
Pound,Pound Weight,INT-0121,Pound; Pounde,A measure of weight ,"""conteine xij ounces or one pound in weight of the said thread""; ""how many papers, packetes, or pound weight""",
Prise,Appraise/Estimate,E-0007,Prayse; Appraise; Pryze,To appraise,"""sayd Jury vppon theire oathes at the same tyme did indifferentlie value and prise the same sheepe""; ""sworne duely by discrecion to pryze the
same clothes viz  Hewett and  kinge Citezeins and drapers of London who prised the said Thirtye Clothes at ffiftie one Poundes""",
Prise,Price,INT-0063,Price; Prise; Pryse; Prisse; Prises,The cost of something,"""take them with theire faultes and at the prises that he had lefte order with the said Applegate in the said Aunswere named to sell them for""; ""settyng then a prise of his said wares""; ""not lykyng of the prise""; ""paying such prises""; ""rysinge the prises of the Coles""; ""give them good prises for their wynes""",
Prise,Prize,INT-0242,Prise; Prises,,"""take one shippe called by the name of the Lady of the good voyage of Spayne and broughte her as prise into the haven of Plymoth within ye countey of devon wherein were laden Spanyardes goodes and others which were lawfull prise""; ""their man of warre tooke the french
shipp and kept her as their prise""; ""they riffled two frenche men, wherof one they helde as a prise""",
Quarter,Quarter,INT-0115,Quarters,A measure of volume especially of grain or salt,"""certein quarters of maulte then being in the saide shippe""; ""threescore quarters of maulte being shipped in a shippe""; ""ten quarters of whete""; ""weighed & delivered at & for 2200 a quarter""; ""ten quarters of mault deliuered by this defendant to the said Comp̅lt att the rate of Twentie eight shillinges the quarter""; ""ate or price of Twenty eight shillinges the quarter""; "".70. quarters of mault soe deliuered""; ""mault which was not worth above xviijˢ the quarter""; ""hreescore quarters of maulte being shipped in a shippe""; ""is behinde and arrere with the payment of many quarters of corne & graine""; ""number of quarters & Bushelles of graine""",
Quarter,Quarter,L-0436,,Geographical space,"""seuerall Tenementes and  commen in wythycombe bafford mede and wythycombe Quarter""",
Quarter,Quarter,No ID,Quarters,"A numerical fraction used in time statements (quarter of  an hour, per quarter) or other types of measures","""iij quarters of a yeare""; ""within a quarter of a yere""; ""gayned about a quarter of a hundred in a Barrell""; ""merchants doe manie times allow the grocer sometimes a quarter or halfe a hundred or more in butts of Currants""; ""except a quarter in Bredthe""; ""waying fyveteene hundred one quarter & xviij poundes weight""; ""in bredthe at the least aboue halffe a quarter of a yarde""; ""about a quarter of a mile from the said woodd""",
Quarter,Quarter Day,TE-0070,Quarter,One fourth of a year; one of four terms when rent was paid.,"""paid by xijᵈ a quarter""; ""for one quarters Rent""; ""to lett passe one quarter day without paying the rent due to the defendant for that quarter""; ""provision of the woodd for the 2 first quarters of Christmas & our lady day""; ""for the first Quarter after that conveyance by hym made""",
Reason,Raison,T-0153,Reasons,,"""frayles of Raisons""; ""pounde of Raysins""; ""tenne peeces of Raisons""; ""three poundes of reisyngs""; ""lande tenn buttes of sacke & 4 peices of reasons""; ""euery peice of the saide reasons worth xvjˢ""",
Reason,Reason,No ID,"Reason, Reasons; Raison",,"""by reason of anye new Contract""; ""by reason of the receipt of the saide gelding""; ""what secret reason had you""; ""for the Causes and reasons aforesaid""; ""vnconscionable reasons""; ""by Raison whearof""",
Sacke,Bag,T-0245,Sack; Sacke,A bag to hold things,"""sixteene sackes and a half were parcell of the corne""; ""xvj sackes & a half of wheat""",
Sacke,Sack Wine,T-0158,"Sack, Sacke, Sacks, Sackes",A type of wine often exported from Spain,"""tenn buttes of sacke""; ""the saide sacke was then worth xij or xiij£""; ""buttes of sackes""; ""wholsome pure and marchantable sackes & Gaskoyne wynes""",
Salt,Salt,T-0159,Salte; Saulte; Savllt,Salt the seasoning,"""all sorts of whight sault""; ""hoggshedes of salt""; ""one hundreth and twentie way of Salt""; ""& season it with salt""; ""shipp laden with salt""; ""hoggshedes of salt salmon""; ""xxxvij waye of saulte""; ""The Charges paide out vppon saulte houses, and the Utencelles thereto belonging""",
Salt,Saltcellar,T-0362,"Salt, Sault, Saltes",Container for salt,"""playne Trencher saltes of syluer guylt""",
Seller,Cellar,L-0035,"Seller, Cellar",A basement of a building,"""this deponent did helpe to roll them into his seller""; ""his ordynary passage to the same sellers or roomes""; 'whither do yow thincke in your conscience that the sayde sellers weare not rated at two highe a rent""; ""brought into the warehouse or seller""; ""some others had stollne a great quantitie of Tobacco out of a seller""; 'delyuer to one Roger nellsons wyffe flaggens of Gaskyn wyne oute of the said Seller""; ""thre Tonnes of the wyne that was in the said Seller""; ""backe parte of his dwellynge howsse in Cheapesyde, his Cellars, buttrye and kytchen""",
Seller,Seller,SI-0329,Seller,A person who sells,"""the sellers of lynnen cloth""; ""paid by any sellers""; ""ffraunces kightley of London Lether seller""; ""he weight therof entred in the sellers bought booke""",
Shepe,Sheep,T-0165,Shepes; Sheepe,"A type of livestock. Sheep would be more likely to co-occur with a number concerning quantity than the word ship would. Sheep might co-occur with other animal words, such as references to cows, or words referencing markets and fairs. Sheep is more likely to be in discussions about sales.","""one Tailor a broker dyd take vpp certeine dosens of Skynes Shepes Skynnes""; ""Boucher for forestallinge of Shepe""; ""the same Shepe beinge not crossayled""; ""xxx£ shepe were worthe at the tyme of the delyuery of the same vnto Thorpe the some of fyve poundes / besydes the two shepe yerely""; ""ffarme of ffyfeld a thowsand shepe""; ""oxon Steeres Runttes kyne, or hayfers or shepe""; ""kept the said shepe and beastes out of his said corne""",
Shepe,Ship,T-0162,Shepes; Sheppe,"A sailing vessel. The plural would normally refer to ships rather than sheep.  Ship may co-occur with the words vessel or boat. Ships might also co-occur with reference to a ship's master or ship's owner. Ship is more likely to occur in discussions of voyages, smuggling, and international trading.","""he hathe made no seasures of any Shepes vesselles gooddes or merchaundise""; ""did you knowe one Shippe Late called the marlyn of Bedyforde and of whatt burden was the same Sheppe""; ""in what shepes hoyes or vesselles cam the same goodes""",
Sole,Feme Sole,SI-0102,Femme Sole; Feme Sole; Feme Sole Merchant,,"""after longe trade by her selfe as a sole marchaunt""; ""wief hath delt & contracted [with] these defendantes or anie of them by waie of marchandizinge severally & att severall times for lynnen Cloath & other thinges of that kinde & nature as a sole marchaunt accordinge to the Custome of the Cittie of London""; ""whether that she did not trade by her selfe, as a sole merchaunt""; ""she hath dealte and Contracted by waye of merchaundizinge severallye and att severall tymes for Linnen Clothe and other thinges of that kinde and nature as a sole merchaunt""",
Sole,Shoe,T-0170,Sole; Soles,The bottom part of a shoe,"""Backe of the hyde onely servithe for Soulynge of Shose callyd by the name of Sole lether""; ""he hyde Comythe hole to the market and that ys tannyd for sole lether""; "" yf yt be Tanyd for Sole lether""; ""Sole hydes arre Suche Oxehydes whiche be Tannyd for the purpose onely for soule lether""",
Sole,Sole,T-0179,Sole; Soles,A type of fish,"""in the Ryver of Thames and they take Soles and playse and thorne backes and smeltes""; ""they take playse and sole and smeltes and such like fyshe""",
Soule,Shoe,T-0170,Sole; Soles,The bottom part of a shoe,"""Oxehydes whiche be Tannyd for the purpose onely for soule lether""",
Soule,Soul,INT-0244,"Soule; Sole, Soules, Saule",The immaterial or spiritual essence of a person,"""tainte my Soule wth piurye or falshood""; ""refreshe our said sinifull soules""; ""masse of requie for my soule""; ""put all our truste for soule health in god the father""",
Staple,Staple,L-0427,Staple,"A location that has a monopoly on the sale of a particular commodity. Often used in the context of a ""merchant of the staple"" or in reference to a location or the sale of goods","""merchaunt of the Staple""",
Staple,Statute Staple,INT-0080,Statute Stapull,A type of bill obligatory,"""one Recognizaunce of the nature of a statute of the staple""; ""there seeketh to make a staple for cloth""",
Stave,Staff,T-0185,Staffe; Staffes; Stave; Staves,A long stick used to aid in walking and also sometimes used as a weapon or for protection,"""with swordes Staves and daggers""; ""longe picked staves and Billes""; ""armed with bills bowes staves swordes daggers""; ""And of what lengthe was your staffe? And the staves of the saide other defendantes""",
Stave,Staves,T-0387,Staves; Wood Staves,A commodity consisting of long wooden slats used for things like barrels. Often shipped from Scandinavian countries,"""laden Two shippes with Pipe staves""; ""laden with certeine pipe staves""",
Timber,Timber,INT-0117,Tembar,A unit of measure used primarily for hides or furs,"""in the shepe or hoye he came in passenger wone Crosse of govlde sett with emerades and thre great perlles at the same Crosse dependant wone tembar or more of Sabell skenes """,
Timber,Wood,T-0216,Timber; Timbre; Tymber,Wood or trees,"""any wood or timber growinge vppon the lands""; ""certayn Timber beinge vpon the premisses""; ""fellinge of timber""",
Tun,Ship Ton,INT-0241,ton; tonne; tun; tunnes; tonnes; tvn,"A unit expressing a vessel’s carrying capacity or burden (tonnage), rather than its exact weight","""beeinge a shipp of threescore tunnes""; ""Sixe thowsande Tonnes of shippinge; of the burthen of 160. tonnes""; ""shipp beinge of burthen about some fortie tonnes""; ""spanishe Caruell of somme 60ᵗⁱᵉ tonnes""; ""three shippes or some of them aboute lx tonnes""",
Tun,Tun,T-0204,Tunne; Tunnes; Tonnes; Ton; Toonns; Tvnne; Tvnnes; Tonne; Tounne,"A type of barrell or cask, often used to hold wine, oil, fish.""Tun"" as a barrel will refer to liquids that can be contained inside a barrel, such as wine. There may also be co-references to other types of barrels, such as hogsheads or pipes.","""bargayned with the defendant for five tunnes of good Oade""; ""ffive Cases & two Tunnes of Secks""; ""one hundreth Buttes of Sack, Twenty Tonne of Oyle""",
Tun ,Ton Weight,INT-0104,tvnnes; tounne; tunne; ton; tonne; tonnes,"A unit of measure of volume, especially for wares like wine, oil, fish, metals. And a unit of volume for a ship. When used as a unit of weight, it will refer to things that are carried and weighed, such as metal, iron, or grain. It might have a reference to a price ""per tun"" or be found co-occuring with other words of weight such as hundredweight or pounds.","""payd nine pound a tounne at the least; ""weighing or conteining fower tunne at the least""; ""Gunnes are there sold for xx£ a Tunne""; ""howe many tvnnes waight dyd all the sayd gvnne mettall waye""; ""to furnishe him with ffoure hundred Tune of Cast Iron Ordinaunce at Seaven poundes Syxe shillinges Eight pence per Tune""; ""threscore tunes of wine""; ""desyred him this Examinate to carry for them Twoe Tunn of Tallowe""; ""iiij tonnes & demi of Gascoygne wynes""; ""halfe A Tonne of gascoyne wyne""",
Vessel,Ship,T-0162,Vessel; Vessell; Vessels; Vesselles,A sailing ship,"""in any other boate, or vessell from dunkerke""; ""shipped aboard of any vessell affloate""; ""landed out of the said vessell""; ""seized aboard of a hoy or vessell""; ""in what shipp or Vessell shipps or Vesselles""; ""did take into his vessell two passengers""; ""he Hathe made no seasures of any Shippes vesselles gooddes or merchaundise as forfeyted""; ""vij ferkens of Butter laden in the same vessell""; ""ded hire and ffrayght the vessell or Crayar""; ""brought the same Coles in  lighters and other lyke vesselles to be conveyed into the sayd shipp""",
